Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left,Distance,Yaw,Pitch,Roll
145,7,"(749.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(747.0, 557.0)",1.8920267677601519,155.72711175819612,-46.56850725863778,23.796781900695986
146,7,"(749.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(747.0, 557.0)",1.8920267677601519,155.72711175819612,-46.56850725863778,23.796781900695986
147,7,"(749.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(747.0, 557.0)",1.8920267677601519,155.72711175819612,-46.56850725863778,23.796781900695986
148,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(747.0, 557.0)",1.8885815357809161,156.1399393476095,-47.57067102120307,24.640281675488474
149,7,"(749.0, 539.0)","(765.0, 540.0)","(764.0, 558.0)","(747.0, 557.0)",1.8941311791966549,153.98263001168263,-47.49055278803696,24.5910555554945
150,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 559.0)","(747.0, 557.0)",1.8367952322005408,147.37224224018604,62.257102315456926,-23.296353138949506
151,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 559.0)","(747.0, 556.0)",1.882731574318034,151.97163203300195,62.20619472588928,-19.10665176567268
152,7,"(749.0, 540.0)","(766.0, 541.0)","(764.0, 558.0)","(748.0, 558.0)",1.9484524685761329,157.15393233100832,-47.29891123558228,21.831239500067028
153,7,"(749.0, 540.0)","(766.0, 541.0)","(764.0, 558.0)","(747.0, 557.0)",2.003364977932056,156.84807949837509,-44.49243359028174,22.558249606373277
154,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(747.0, 557.0)",1.8885815357809161,156.1399393476095,-47.57067102120307,24.640281675488474
155,7,"(749.0, 540.0)","(766.0, 541.0)","(764.0, 558.0)","(748.0, 558.0)",1.9484524685761329,157.15393233100832,-47.29891123558228,21.831239500067028
156,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(747.0, 557.0)",1.8885815357809161,156.1399393476095,-47.57067102120307,24.640281675488474
157,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(747.0, 557.0)",1.8885815357809161,156.1399393476095,-47.57067102120307,24.640281675488474
158,7,"(749.0, 540.0)","(766.0, 541.0)","(764.0, 558.0)","(748.0, 558.0)",1.9484524685761329,157.15393233100832,-47.29891123558228,21.831239500067028
159,7,"(750.0, 539.0)","(766.0, 541.0)","(765.0, 558.0)","(747.0, 557.0)",1.9427519659936205,153.67990829689933,-44.79025042112462,25.26512599785378
160,7,"(749.0, 539.0)","(766.0, 541.0)","(764.0, 558.0)","(748.0, 557.0)",1.945610171468551,152.01787183614857,-45.78419279714779,25.97717203419343
161,7,"(749.0, 539.0)","(766.0, 541.0)","(764.0, 559.0)","(748.0, 558.0)",1.8418979118157386,151.05075466639323,-47.61187988985753,27.181080663766206
162,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 557.0)",1.8920703613576224,154.46804446647198,-48.45917894960694,25.370874696474075
163,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8399441212102932,156.37421316752642,-50.07817432393772,23.908940770457562
164,7,"(749.0, 540.0)","(766.0, 541.0)","(764.0, 559.0)","(748.0, 557.0)",1.9462187939495648,151.59750047258385,60.53835667850699,-20.791073111165787
165,7,"(749.0, 540.0)","(766.0, 541.0)","(764.0, 558.0)","(748.0, 557.0)",2.006519351441159,149.01054949672752,58.813761750556395,-22.437652517572662
166,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
167,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.7939125240343858,153.31776259706677,-50.065317958350384,26.587710075631506
169,7,"(749.0, 540.0)","(766.0, 541.0)","(764.0, 558.0)","(748.0, 558.0)",1.9484524685761329,157.15393233100832,-47.29891123558228,21.831239500067028
170,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 557.0)",1.9474350973137042,144.63641684582873,58.97458819968111,-26.391840803308124
171,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
172,7,"(750.0, 539.0)","(766.0, 541.0)","(765.0, 558.0)","(747.0, 557.0)",1.9427519659936205,153.67990829689933,-44.79025042112462,25.26512599785378
173,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
174,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
175,7,"(749.0, 540.0)","(766.0, 541.0)","(765.0, 558.0)","(748.0, 558.0)",1.9507650192547135,156.61412933050016,-46.2116244490995,21.062810512697606
176,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
177,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
178,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
179,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
180,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
181,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
182,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
183,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.7939125240343858,153.31776259706677,-50.065317958350384,26.587710075631506
184,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
185,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
186,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
188,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.7939125240343858,153.31776259706677,-50.065317958350384,26.587710075631506
190,7,"(749.0, 540.0)","(766.0, 541.0)","(765.0, 558.0)","(748.0, 558.0)",1.9507650192547135,156.61412933050016,-46.2116244490995,21.062810512697606
191,7,"(749.0, 540.0)","(766.0, 541.0)","(765.0, 558.0)","(748.0, 558.0)",1.9507650192547135,156.61412933050016,-46.2116244490995,21.062810512697606
192,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
193,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
194,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 557.0)",1.8926382984404522,147.10419354356318,60.67240707975352,-24.839497313337084
195,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 557.0)",1.8390848249327487,147.56354252488381,63.16906534909635,-24.307494694346726
196,7,"(750.0, 539.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 557.0)",1.8942609701408981,154.02591343753681,-47.452080011592265,24.558975395338514
197,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
198,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8399441212102932,156.37421316752642,-50.07817432393772,23.908940770457562
199,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
200,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
201,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
202,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
203,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
204,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
205,7,"(750.0, 540.0)","(766.0, 541.0)","(765.0, 558.0)","(748.0, 557.0)",2.0059997603868145,155.04941596507786,-45.46001279335732,23.331921622798834
206,7,"(749.0, 540.0)","(766.0, 541.0)","(765.0, 558.0)","(748.0, 558.0)",1.9507650192547135,156.61412933050016,-46.2116244490995,21.062810512697606
207,7,"(749.0, 540.0)","(766.0, 541.0)","(765.0, 558.0)","(748.0, 557.0)",2.0083581367332646,154.49330259183392,-44.38007172638189,22.48897279081947
208,7,"(750.0, 539.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 557.0)",1.8942609701408981,154.02591343753681,-47.452080011592265,24.558975395338514
209,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 557.0)",1.9499527493560824,146.67379518370717,57.93726645158868,-25.2720373084934
211,7,"(749.0, 540.0)","(766.0, 541.0)","(764.0, 559.0)","(748.0, 558.0)",1.896400746550989,147.0455839575652,60.582867375101245,-24.860625714740504
212,7,"(750.0, 539.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.7939125240343858,153.31776259706677,-50.065317958350384,26.587710075631506
213,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
214,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
215,7,"(750.0, 539.0)","(766.0, 541.0)","(765.0, 558.0)","(748.0, 558.0)",1.8924268246807687,153.99372061934562,-47.50061919474614,24.598056874075738
216,7,"(749.0, 540.0)","(766.0, 541.0)","(765.0, 558.0)","(748.0, 558.0)",1.9507650192547135,156.61412933050016,-46.2116244490995,21.062810512697606
217,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
218,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
219,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
220,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
221,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
222,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
223,7,"(750.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.8407728350457842,140.69477477761578,61.507515381150704,-30.004522182518016
224,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
225,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
226,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
227,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
228,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
229,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
230,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
231,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
232,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
233,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(747.0, 558.0)",1.8891575281384316,140.14801353593975,58.02399259079759,-29.167750551963124
234,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
235,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
236,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
237,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
238,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
239,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
240,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
241,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
242,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
243,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
244,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
245,7,"(750.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.8407728350457842,140.69477477761578,61.507515381150704,-30.004522182518016
246,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
247,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 557.0)",1.8926382984404522,147.10419354356318,60.67240707975352,-24.839497313337084
248,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 557.0)",1.8926382984404522,147.10419354356318,60.67240707975352,-24.839497313337084
