Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left
389,3,"(597.0, 155.0)","(628.0, 153.0)","(630.0, 185.0)","(599.0, 187.0)"
390,3,"(628.0, 123.0)","(660.0, 121.0)","(661.0, 155.0)","(629.0, 156.0)"
391,3,"(656.0, 131.0)","(690.0, 131.0)","(690.0, 166.0)","(656.0, 167.0)"
392,3,"(693.0, 149.0)","(729.0, 148.0)","(729.0, 186.0)","(694.0, 187.0)"
393,3,"(704.0, 145.0)","(741.0, 143.0)","(741.0, 182.0)","(704.0, 183.0)"
394,3,"(716.0, 110.0)","(754.0, 108.0)","(755.0, 149.0)","(719.0, 152.0)"
395,3,"(728.0, 108.0)","(767.0, 106.0)","(768.0, 146.0)","(729.0, 149.0)"
396,3,"(737.0, 67.0)","(780.0, 65.0)","(781.0, 110.0)","(739.0, 113.0)"
397,3,"(758.0, 78.0)","(803.0, 74.0)","(805.0, 122.0)","(761.0, 125.0)"
398,3,"(825.0, 46.0)","(875.0, 44.0)","(874.0, 97.0)","(825.0, 99.0)"
399,3,"(886.0, 46.0)","(940.0, 45.0)","(939.0, 101.0)","(886.0, 103.0)"
400,3,"(925.0, 49.0)","(982.0, 47.0)","(981.0, 105.0)","(925.0, 107.0)"
423,2,"(629.0, 64.0)","(660.0, 60.0)","(657.0, 101.0)","(625.0, 105.0)"
424,2,"(655.0, 67.0)","(687.0, 63.0)","(683.0, 106.0)","(651.0, 109.0)"
425,2,"(708.0, 61.0)","(741.0, 57.0)","(735.0, 103.0)","(703.0, 104.0)"
426,2,"(753.0, 71.0)","(786.0, 68.0)","(782.0, 114.0)","(749.0, 116.0)"
427,5,"(288.0, 122.0)","(305.0, 123.0)","(305.0, 140.0)","(288.0, 138.0)"
427,2,"(814.0, 67.0)","(849.0, 61.0)","(845.0, 108.0)","(810.0, 113.0)"
428,5,"(310.0, 115.0)","(329.0, 115.0)","(328.0, 132.0)","(311.0, 132.0)"
428,2,"(822.0, 49.0)","(857.0, 42.0)","(852.0, 91.0)","(818.0, 96.0)"
429,5,"(317.0, 98.0)","(335.0, 99.0)","(335.0, 116.0)","(318.0, 115.0)"
429,2,"(820.0, 29.0)","(854.0, 22.0)","(849.0, 74.0)","(816.0, 78.0)"
430,5,"(338.0, 100.0)","(355.0, 101.0)","(355.0, 118.0)","(338.0, 117.0)"
430,2,"(831.0, 35.0)","(866.0, 28.0)","(860.0, 80.0)","(826.0, 84.0)"
432,5,"(394.0, 95.0)","(411.0, 96.0)","(412.0, 113.0)","(394.0, 112.0)"
435,4,"(305.0, 207.0)","(314.0, 207.0)","(314.0, 216.0)","(305.0, 216.0)"
435,5,"(441.0, 133.0)","(458.0, 132.0)","(459.0, 149.0)","(443.0, 151.0)"
436,5,"(440.0, 141.0)","(457.0, 140.0)","(459.0, 157.0)","(441.0, 159.0)"
437,5,"(452.0, 171.0)","(469.0, 171.0)","(470.0, 189.0)","(453.0, 189.0)"
437,2,"(927.0, 32.0)","(968.0, 17.0)","(964.0, 87.0)","(924.0, 97.0)"
439,5,"(481.0, 185.0)","(498.0, 185.0)","(498.0, 203.0)","(480.0, 202.0)"
440,5,"(458.0, 207.0)","(475.0, 206.0)","(476.0, 225.0)","(459.0, 225.0)"
440,2,"(935.0, 58.0)","(981.0, 41.0)","(977.0, 116.0)","(932.0, 128.0)"
441,5,"(433.0, 201.0)","(451.0, 201.0)","(452.0, 218.0)","(434.0, 219.0)"
441,2,"(917.0, 46.0)","(965.0, 28.0)","(960.0, 106.0)","(913.0, 119.0)"
442,5,"(402.0, 178.0)","(421.0, 179.0)","(421.0, 197.0)","(402.0, 195.0)"
